facility_id,report_path,report_date,capacity,total_enrolled,method,snippet
380504523,data/ccld-reports/380504523/report-3.html,2025-03-17,36,36,table,TOTAL ENROLLED CHILDREN: 36
380504523,data/ccld-reports/380504523/report-4.html,2025-03-24,36,36,table,TOTAL ENROLLED CHILDREN: 36
380504560,data/ccld-reports/380504560/report-0.html,2023-05-09,67,67,table,TOTAL ENROLLED CHILDREN: 67
380504560,data/ccld-reports/380504560/report-1.html,2024-07-25,67,67,table,TOTAL ENROLLED CHILDREN: 67
380504560,data/ccld-reports/380504560/report-2.html,2025-04-10,67,67,table,TOTAL ENROLLED CHILDREN: 67
380504560,data/ccld-reports/380504560/report-3.html,2025-05-28,67,67,table,TOTAL ENROLLED CHILDREN: 67
380504560,data/ccld-reports/380504560/report-4.html,2025-07-15,67,67,table,TOTAL ENROLLED CHILDREN: 67
380504560,data/ccld-reports/380504560/report-5.html,2025-11-21,67,67,table,TOTAL ENROLLED CHILDREN: 67
380504700,data/ccld-reports/380504700/report-0.html,2023-06-21,59,,table,59
380504700,data/ccld-reports/380504700/report-1.html,2022-10-26,54,54,table,TOTAL ENROLLED CHILDREN: 54
380504700,data/ccld-reports/380504700/report-2.html,2023-10-27,59,59,table,TOTAL ENROLLED CHILDREN: 59
380504700,data/ccld-reports/380504700/report-3.html,2024-03-11,59,59,table,TOTAL ENROLLED CHILDREN: 59
380504700,data/ccld-reports/380504700/report-4.html,2025-01-10,58,58,table,TOTAL ENROLLED CHILDREN: 58
380504700,data/ccld-reports/380504700/report-5.html,2025-04-07,58,58,table,TOTAL ENROLLED CHILDREN: 58
380504714,data/ccld-reports/380504714/report-0.html,2022-11-08,70,70,table,TOTAL ENROLLED CHILDREN: 70
380504714,data/ccld-reports/380504714/report-1.html,2024-04-03,70,70,table,TOTAL ENROLLED CHILDREN: 70
380504714,data/ccld-reports/380504714/report-2.html,2025-04-10,70,70,table,TOTAL ENROLLED CHILDREN: 70
380504742,data/ccld-reports/380504742/report-0.html,2023-03-07,50,50,table,TOTAL ENROLLED CHILDREN: 50
380504742,data/ccld-reports/380504742/report-1.html,2024-04-05,50,50,table,TOTAL ENROLLED CHILDREN: 50
380504742,data/ccld-reports/380504742/report-2.html,2025-03-04,10,10,table,TOTAL ENROLLED CHILDREN: 10
380504776,data/ccld-reports/380504776/report-0.html,2024-07-02,91,,table,91
380504776,data/ccld-reports/380504776/report-1.html,2023-01-12,91,91,table,TOTAL ENROLLED CHILDREN: 91
380504776,data/ccld-reports/380504776/report-2.html,2024-01-03,91,91,table,TOTAL ENROLLED CHILDREN: 91
380504776,data/ccld-reports/380504776/report-3.html,2024-07-02,66,66,table,TOTAL ENROLLED CHILDREN: 66
380504776,data/ccld-reports/380504776/report-4.html,2024-11-25,91,91,table,TOTAL ENROLLED CHILDREN: 91
380504776,data/ccld-reports/380504776/report-5.html,2024-12-16,63,63,table,TOTAL ENROLLED CHILDREN: 63
380504776,data/ccld-reports/380504776/report-6.html,2025-06-19,91,91,table,TOTAL ENROLLED CHILDREN: 91
380504776,data/ccld-reports/380504776/report-7.html,2025-12-16,91,91,table,TOTAL ENROLLED CHILDREN: 91
380504783,data/ccld-reports/380504783/report-0.html,2022-04-12,59,59,table,TOTAL ENROLLED CHILDREN: 59
380504783,data/ccld-reports/380504783/report-1.html,2022-05-23,59,59,table,TOTAL ENROLLED CHILDREN: 59
380504783,data/ccld-reports/380504783/report-2.html,2022-09-23,59,59,table,TOTAL ENROLLED CHILDREN: 59
380504783,data/ccld-reports/380504783/report-3.html,2023-05-17,59,59,table,TOTAL ENROLLED CHILDREN: 59
380504783,data/ccld-reports/380504783/report-4.html,2024-08-13,48,48,table,TOTAL ENROLLED CHILDREN: 48
380504783,data/ccld-reports/380504783/report-5.html,2025-06-25,20,20,table,TOTAL ENROLLED CHILDREN: 20
380504783,data/ccld-reports/380504783/report-6.html,2025-10-07,48,48,table,TOTAL ENROLLED CHILDREN: 48
380504793,data/ccld-reports/380504793/report-0.html,2022-01-10,87,,table,87
380504793,data/ccld-reports/380504793/report-1.html,2022-03-09,87,,table,87
380504793,data/ccld-reports/380504793/report-10.html,2024-08-13,87,87,table,TOTAL ENROLLED CHILDREN: 87
380504793,data/ccld-reports/380504793/report-11.html,2024-09-06,87,87,table,TOTAL ENROLLED CHILDREN: 87
380504793,data/ccld-reports/380504793/report-12.html,2025-06-20,87,87,table,TOTAL ENROLLED CHILDREN: 87
380504793,data/ccld-reports/380504793/report-2.html,2024-04-16,87,,table,87
380504793,data/ccld-reports/380504793/report-3.html,2024-08-13,87,,table,87
380504793,data/ccld-reports/380504793/report-4.html,2024-12-04,87,,table,87
380504793,data/ccld-reports/380504793/report-5.html,2022-08-18,87,87,table,TOTAL ENROLLED CHILDREN: 87
380504793,data/ccld-reports/380504793/report-6.html,2023-01-26,87,87,table,TOTAL ENROLLED CHILDREN: 87
380504793,data/ccld-reports/380504793/report-7.html,2023-08-29,87,87,table,TOTAL ENROLLED CHILDREN: 87
380504793,data/ccld-reports/380504793/report-8.html,2024-03-26,87,87,table,TOTAL ENROLLED CHILDREN: 87
380504793,data/ccld-reports/380504793/report-9.html,2024-04-16,87,87,table,TOTAL ENROLLED CHILDREN: 87
380504942,data/ccld-reports/380504942/report-0.html,2024-04-25,60,,table,60
380504942,data/ccld-reports/380504942/report-1.html,2024-06-17,60,,table,60
380504942,data/ccld-reports/380504942/report-10.html,2024-10-02,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504942,data/ccld-reports/380504942/report-11.html,2025-12-16,56,56,table,TOTAL ENROLLED CHILDREN: 56
380504942,data/ccld-reports/380504942/report-2.html,2025-03-19,60,,table,60
380504942,data/ccld-reports/380504942/report-3.html,2025-04-08,60,,table,60
380504942,data/ccld-reports/380504942/report-4.html,2022-03-22,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504942,data/ccld-reports/380504942/report-5.html,2022-05-13,47,47,table,TOTAL ENROLLED CHILDREN: 47
380504942,data/ccld-reports/380504942/report-6.html,2023-04-11,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504942,data/ccld-reports/380504942/report-7.html,2024-05-23,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504942,data/ccld-reports/380504942/report-8.html,2024-05-23,60,60,table,TOTAL ENROLLED CHILDREN: 60
380504942,data/ccld-reports/380504942/report-9.html,2024-07-02,60,60,table,TOTAL ENROLLED CHILDREN: 60
380505035,data/ccld-reports/380505035/report-0.html,2022-03-18,60,60,table,TOTAL ENROLLED CHILDREN: 60
380505035,data/ccld-reports/380505035/report-1.html,2023-02-21,60,60,table,TOTAL ENROLLED CHILDREN: 60
380505035,data/ccld-reports/380505035/report-2.html,2024-02-20,60,60,table,TOTAL ENROLLED CHILDREN: 60
380505035,data/ccld-reports/380505035/report-3.html,2025-02-10,60,60,table,TOTAL ENROLLED CHILDREN: 60
380505035,data/ccld-reports/380505035/report-4.html,2025-06-04,60,60,table,TOTAL ENROLLED CHILDREN: 60
380505035,data/ccld-reports/380505035/report-5.html,2025-10-21,38,38,table,TOTAL ENROLLED CHILDREN: 38
380505035,data/ccld-reports/380505035/report-6.html,2025-10-21,38,38,table,TOTAL ENROLLED CHILDREN: 38
380505039,data/ccld-reports/380505039/report-0.html,2022-07-28,12,12,table,TOTAL ENROLLED CHILDREN: 12
380505039,data/ccld-reports/380505039/report-1.html,2024-04-11,13,13,table,TOTAL ENROLLED CHILDREN: 13
380505039,data/ccld-reports/380505039/report-2.html,2025-01-23,13,13,table,TOTAL ENROLLED CHILDREN: 13
380505208,data/ccld-reports/380505208/report-0.html,2022-09-22,27,27,table,TOTAL ENROLLED CHILDREN: 27
380505208,data/ccld-reports/380505208/report-1.html,2023-09-27,27,27,table,TOTAL ENROLLED CHILDREN: 27
