school_id,program_code,application_year,grade,choice_lower,choice_upper,requests
782,GE,2022,TK,1,1,50
782,MM,2022,TK,1,1,13
782,GE,2022,K,1,1,47
782,MM,2022,K,1,1,6
782,GE,2022,1,1,1,1
782,MM,2022,1,1,1,1
782,GE,2022,2,1,1,2
782,GE,2022,4,1,1,2
915,GE,2022,TK,1,1,37
842,GE,2022,K,1,1,57
842,MS,2022,K,1,1,3
842,GE,2022,1,1,1,3
842,GE,2022,2,1,1,4
842,MS,2022,2,1,1,1
842,GE,2022,3,1,1,3
842,GE,2022,4,1,1,3
750,GE,2022,K,1,1,139
750,SA,2022,K,1,1,3
750,GE,2022,1,1,1,12
750,GE,2022,2,1,1,9
750,GE,2022,3,1,1,5
750,GE,2022,4,1,1,6
750,GE,2022,5,1,1,5
848,CB,2022,K,1,1,11
848,GE,2022,K,1,1,11
848,GE,2022,2,1,1,1
513,AF,2022,K,1,1,5
513,CB,2022,K,1,1,23
513,GE,2022,K,1,1,51
513,SB,2022,K,1,1,18
513,GE,2022,1,1,1,4
513,CB,2022,2,1,1,3
513,CB,2022,3,1,1,1
513,GE,2022,3,1,1,3
513,SB,2022,3,1,1,1
513,CB,2022,4,1,1,1
513,GE,2022,4,1,1,2
513,CB,2022,5,1,1,1
859,GE,2022,K,1,1,26
859,GE,2022,1,1,1,1
859,GE,2022,5,1,1,1
832,AO,2022,9,1,1,1
832,GE,2022,9,1,1,34
832,GE,2022,10,1,1,2
832,GE,2022,11,1,1,2
832,GE,2022,12,1,1,1
997,GE,2022,TK,1,1,47
997,MS,2022,TK,1,1,4
862,CB,2022,K,1,1,53
862,GE,2022,K,1,1,41
862,CB,2022,1,1,1,2
862,GE,2022,1,1,1,2
862,CB,2022,2,1,1,1
862,GE,2022,2,1,1,2
862,GE,2022,3,1,1,1
862,GE,2022,4,1,1,2
862,GE,2022,5,1,1,2
867,CB,2022,K,1,1,6
867,GE,2022,K,1,1,18
867,GE,2022,2,1,1,1
867,GE,2022,5,1,1,1
868,GE,2022,6,1,1,105
868,MM,2022,6,1,1,4
868,NX,2022,6,1,1,3
785,GE,2022,9,1,1,85
785,MM,2022,9,1,1,1
785,GE,2022,11,1,1,1
785,GE,2022,12,1,1,3
571,ED,2022,9,1,1,3
571,GE,2022,9,1,1,348
571,MM,2022,9,1,1,12
571,MS,2022,9,1,1,4
571,GE,2022,10,1,1,10
571,GE,2022,11,1,1,13
571,GE,2022,12,1,1,4
497,GE,2022,K,1,1,21
497,SE,2022,K,1,1,47
497,SN,2022,K,1,1,11
497,GE,2022,1,1,1,1
497,SE,2022,1,1,1,4
497,GE,2022,4,1,1,1
497,GE,2022,5,1,1,2
876,GE,2022,TK,1,1,91
876,CE,2022,K,1,1,34
876,CN,2022,K,1,1,21
876,GE,2022,K,1,1,59
876,CE,2022,1,1,1,3
876,CN,2022,1,1,1,3
876,GE,2022,1,1,1,2
876,GE,2022,2,1,1,4
876,CN,2022,3,1,1,1
876,GE,2022,3,1,1,5
876,GE,2022,4,1,1,6
876,GE,2022,5,1,1,1
801,GE,2022,K,1,1,35
801,GE,2022,1,1,1,1
801,GE,2022,3,1,1,1
801,GE,2022,4,1,1,1
801,GE,2022,5,1,1,1
485,CE,2022,K,1,1,74
485,CT,2022,K,1,1,80
485,CE,2022,1,1,1,1
485,CT,2022,1,1,1,3
485,CN,2022,2,1,1,3
485,CN,2022,3,1,1,2
485,CN,2022,5,1,1,1
485,CN,2022,6,1,1,16
485,CN,2022,8,1,1,1
441,CA,2022,13,2,2,4
442,CA,2022,13,2,2,5
413,GE,2022,K,2,2,68
413,SA,2022,1,2,2,4
413,GE,2022,1,2,2,4
413,GE,2022,2,2,2,2
413,GE,2022,3,2,2,1
413,GE,2022,4,2,2,2
413,GE,2022,5,2,2,1
420,GE,2022,TK,2,2,58
420,GE,2022,K,2,2,72
420,MS,2022,K,2,2,1
420,SE,2022,K,2,2,61
420,SN,2022,K,2,2,28
420,GE,2022,1,2,2,2
420,SE,2022,1,2,2,6
420,SN,2022,1,2,2,2
420,GE,2022,2,2,2,5
420,GE,2022,4,2,2,2
420,SN,2022,4,2,2,1
420,GE,2022,5,2,2,2
431,GE,2022,6,2,2,246
431,MM,2022,6,2,2,6
431,MN,2022,6,2,2,7
431,GE,2022,7,2,2,5
431,MN,2022,7,2,2,1
431,GE,2022,8,2,2,2
431,MN,2022,8,2,2,2
903,GE,2022,TK,2,2,52
435,AF,2022,K,2,2,2
435,GE,2022,K,2,2,79
435,GE,2022,1,2,2,3
435,GE,2022,2,2,2,1
435,AF,2022,3,2,2,1
435,GE,2022,4,2,2,1
815,GE,2022,9,2,2,128
815,MM,2022,9,2,2,1
815,GE,2022,10,2,2,5
815,GE,2022,11,2,2,2
815,CA,2022,13,2,2,1
439,GE,2022,9,2,2,315
439,MM,2022,9,2,2,3
439,MS,2022,9,2,2,5
439,GE,2022,10,2,2,4
439,GE,2022,11,2,2,7
439,GE,2022,12,2,2,2
439,CA,2022,13,2,2,5
858,GE,2022,6,2,2,89
858,GE,2022,7,2,2,3
858,GE,2022,8,2,2,1
456,GE,2022,K,2,2,11
456,SB,2022,K,2,2,11
456,GE,2022,1,2,2,1
456,SB,2022,1,2,2,1
456,GE,2022,2,2,2,1
618,MM,2022,K,2,2,2
618,SE,2022,K,2,2,28
618,SN,2022,K,2,2,29
618,SE,2022,1,2,2,1
618,SN,2022,1,2,2,2
618,MM,2022,2,2,2,1
618,SN,2022,2,2,2,1
618,SN,2022,3,2,2,1
618,SN,2022,4,2,2,2
618,SN,2022,5,2,2,2
618,SN,2022,6,2,2,45
764,GE,2022,9,2,2,173
764,MM,2022,9,2,2,1
764,MS,2022,9,2,2,2
764,GE,2022,10,2,2,4
764,GE,2022,11,2,2,2
764,GE,2022,12,2,2,2
449,GE,2022,TK,2,2,12
449,FB,2022,K,2,2,3
449,GE,2022,K,2,2,20
449,GE,2022,1,2,2,3
449,GE,2022,2,2,2,1
449,GE,2022,5,2,2,1
449,GE,2022,6,2,2,13
625,GE,2022,K,2,2,8
625,GE,2022,5,2,2,1
603,GE,2022,K,2,2,21
603,SB,2022,K,2,2,26
603,GE,2022,3,2,2,1
603,SB,2022,3,2,2,1
872,CB,2022,K,2,2,20
872,GE,2022,K,2,2,40
872,CB,2022,1,2,2,1
872,CB,2022,2,2,2,1
872,GE,2022,2,2,2,1
509,CE,2022,K,2,2,43
509,CN,2022,K,2,2,19
509,CN,2022,4,2,2,1
509,CN,2022,5,2,2,1
478,GE,2022,K,2,2,116
478,JE,2022,K,2,2,77
478,JN,2022,K,2,2,2
478,MM,2022,K,2,2,4
478,GE,2022,1,2,2,4
478,JB,2022,1,2,2,6
478,MM,2022,1,2,2,1
478,GE,2022,2,2,2,5
478,JB,2022,2,2,2,2
478,GE,2022,3,2,2,3
478,JB,2022,3,2,2,1
478,JB,2022,4,2,2,1
478,GE,2022,5,2,2,1
478,JB,2022,5,2,2,1
481,GE,2022,K,2,2,20
481,SB,2022,K,2,2,13
481,GE,2022,1,2,2,1
481,SB,2022,1,2,2,1
481,SB,2022,2,2,2,2
481,GE,2022,3,2,2,1
481,SB,2022,4,2,2,1
525,GE,2022,TK,2,2,31
525,GE,2022,K,2,2,15
525,GE,2022,1,2,2,1
632,ED,2022,6,2,2,1
632,GE,2022,6,2,2,121
632,MM,2022,6,2,2,4
632,MS,2022,6,2,2,2
632,GE,2022,7,2,2,2
632,GE,2022,8,2,2,2
507,GE,2022,TK,2,2,8
507,GE,2022,K,2,2,11
507,GE,2022,1,2,2,1
507,GE,2022,2,2,2,1
521,GE,2022,TK,2,2,10
521,GE,2022,K,2,2,17
521,GE,2022,1,2,2,1
521,GE,2022,2,2,2,1
529,AF,2022,6,2,2,2
529,GE,2022,6,2,2,71
529,MM,2022,6,2,2,5
529,MS,2022,6,2,2,1
529,NX,2022,6,2,2,6
529,SN,2022,6,2,2,42
529,GE,2022,7,2,2,1
529,NX,2022,7,2,2,1
529,GE,2022,8,2,2,1
539,GE,2022,TK,2,2,2
539,GE,2022,K,2,2,24
539,GE,2022,1,2,2,2
539,GE,2022,2,2,2,2
539,GE,2022,3,2,2,1
539,ED,2022,4,2,2,1
539,GE,2022,4,2,2,3
539,GE,2022,5,2,2,3
680,GE,2022,TK,2,2,31
680,GE,2022,K,2,2,18
