school_id,program_code,grade,num_requests,choice_min,choice_max,ay
404,GE,7,39,1,1.0,25-26
404,GE,8,9,1,1.0,25-26
404,MM,6,6,1,1.0,25-26
404,MS,6,2,1,1.0,25-26
404,MS,8,1,1,1.0,25-26
404,SA,6,4,1,1.0,25-26
575,GE,K,39,1,1.0,25-26
575,GE,1,2,1,1.0,25-26
575,GE,2,3,1,1.0,25-26
575,GE,3,3,1,1.0,25-26
575,GE,4,2,1,1.0,25-26
575,GE,5,0,1,1.0,25-26
575,SA,K,4,1,1.0,25-26
575,SA,2,1,1,1.0,25-26
575,SB,K,4,1,1.0,25-26
575,SB,3,0,1,1.0,25-26
589,GE,TK,58,1,1.0,25-26
589,GE,K,82,1,1.0,25-26
589,GE,1,2,1,1.0,25-26
589,GE,2,0,1,1.0,25-26
589,GE,3,3,1,1.0,25-26
589,GE,4,2,1,1.0,25-26
589,GE,5,7,1,1.0,25-26
589,SA,TK,4,1,1.0,25-26
589,SA,K,0,1,1.0,25-26
589,SA,2,1,1,1.0,25-26
589,SA,3,1,1,1.0,25-26
593,GE,TK,21,1,1.0,25-26
593,GE,K,13,1,1.0,25-26
593,GE,4,0,1,1.0,25-26
593,GE,5,1,1,1.0,25-26
593,SB,K,17,1,1.0,25-26
593,SB,2,2,1,1.0,25-26
453,GE,TK,7,1,1.0,25-26
453,GE,K,10,1,1.0,25-26
453,GE,1,0,1,1.0,25-26
453,GE,2,2,1,1.0,25-26
453,GE,3,0,1,1.0,25-26
453,GE,4,0,1,1.0,25-26
453,GE,5,0,1,1.0,25-26
453,MM,K,1,1,1.0,25-26
453,SE,K,4,1,1.0,25-26
453,SN,K,8,1,1.0,25-26
453,SN,2,1,1,1.0,25-26
453,SN,3,1,1,1.0,25-26
453,SN,4,1,1,1.0,25-26
614,GE,TK,13,1,1.0,25-26
614,GE,K,7,1,1.0,25-26
614,GE,1,0,1,1.0,25-26
614,GE,2,0,1,1.0,25-26
614,GE,3,1,1,1.0,25-26
614,GE,4,0,1,1.0,25-26
614,GE,5,0,1,1.0,25-26
614,MM,TK,3,1,1.0,25-26
614,MM,K,2,1,1.0,25-26
614,MM,2,0,1,1.0,25-26
614,SB,TK,4,1,1.0,25-26
614,SB,K,14,1,1.0,25-26
614,SB,2,0,1,1.0,25-26
614,SB,3,1,1,1.0,25-26
614,SB,4,1,1,1.0,25-26
607,AF,6,1,1,1.0,25-26
607,CN,6,50,1,1.0,25-26
607,ED,6,0,1,1.0,25-26
607,GE,6,209,1,1.0,25-26
607,GE,7,5,1,1.0,25-26
607,GE,8,3,1,1.0,25-26
607,MM,6,3,1,1.0,25-26
607,SN,6,82,1,1.0,25-26
