ay,school_id,program_code,program_name
25-26,725,ED,ED: SDC - SOAR
25-26,725,GE,GE: General Education
25-26,725,MM,MM: SDC - Mild to Moderate
25-26,725,MS,MS: SDC - Extensive Services
25-26,725,NX,NX: Newcomer Program
25-26,725,SA,SA: SDC - Extensive Services Autism Focus
25-26,729,CB,CB: Cantonese Biliteracy
25-26,729,GE,GE: General Education
25-26,729,SE,SE: Spanish Immersion (Non-Native)
25-26,729,SN,SN: Spanish Immersion (Spanish Speakers)
25-26,723,CB,CB: Cantonese Biliteracy
25-26,723,GE,GE: General Education
25-26,723,SB,SB: Spanish Biliteracy
25-26,650,GE,GE: General Education
25-26,650,SB,SB: Spanish Biliteracy
25-26,735,GE,GE: General Education
25-26,928,GE,GE: General Education
25-26,651,CA,SDC Transition Program (CAT)
25-26,651,GE,GE: General Education
25-26,651,MM,MM: SDC - Mild to Moderate
25-26,746,GE,GE: General Education
25-26,746,ME,ME: Mandarin Immersion (Non-Native)
25-26,746,MN,MN: Mandarin Immersion (Mandarin Speakers)
25-26,638,GE,GE: General Education
25-26,786,AF,AF: SDC - Mild/Mod Autism Focus
25-26,786,GE,GE: General Education
25-26,786,JB,JB: Japanese Bilingual Bicultural Prgram
25-26,786,JE,JE: Japanese Bilingual Bicultural Program - English C
25-26,569,GE,GE: General Education
25-26,569,MM,MM: SDC - Mild to Moderate
25-26,778,AF,AF: SDC - Mild/Mod Autism Focus
25-26,778,GE,GE: General Education
25-26,778,JB,JB: Japanese Bilingual Bicultural Prgram
25-26,778,MM,MM: SDC - Mild to Moderate
25-26,778,MS,MS: SDC - Extensive Services
25-26,790,GE,GE: General Education
25-26,760,GE,GE: General Education
25-26,760,MM,MM: SDC - Mild to Moderate
25-26,760,SE,SE: Spanish Immersion (Non-Native)
25-26,760,SN,SN: Spanish Immersion (Spanish Speakers)
25-26,965,GE,GE: General Education
25-26,796,GE,GE: General Education
25-26,797,AF,AF: SDC - Mild/Mod Autism Focus
25-26,797,CN,CN: Cantonese Immersion (Cantonese Speakers)
25-26,797,GE,GE: General Education
25-26,797,MM,MM: SDC - Mild to Moderate
25-26,797,SA,SA: SDC - Extensive Services Autism Focus
25-26,987,GE,GE: General Education
25-26,816,GE,GE: General Education
25-26,816,MM,MM: SDC - Mild to Moderate
25-26,816,SB,SB: Spanish Biliteracy
25-26,816,SB,SDC Transition Program (CAT)
25-26,955,GE,GE: General Education
25-26,656,GE,GE: General Education
25-26,656,SB,SB: Spanish Biliteracy
25-26,493,GE,GE: General Education
25-26,621,CA,SDC Transition Program (CAT)
25-26,621,GX,GX: General Education Newcomer
25-26,621,MM,MM: SDC - Mild to Moderate
25-26,621,NC,NC: Chinese Newcomer
25-26,621,NS,NS: Spanish Newcomer
25-26,621,NX,NX: Newcomer Program
25-26,814,GE,GE: General Education
25-26,820,GE,GE: General Education
25-26,820,GE,SDC Transition Program (CAT)
25-26,823,AF,AF: SDC - Mild/Mod Autism Focus
25-26,823,GE,GE: General Education
25-26,488,GE,GE: General Education
25-26,834,GE,GE: General Education
25-26,834,MM,MM: SDC - Mild to Moderate
25-26,834,SB,SB: Spanish Biliteracy
25-26,782,GE,GE: General Education
25-26,782,MM,MM: SDC - Mild to Moderate
25-26,915,GE,GE: General Education
25-26,842,GE,GE: General Education
25-26,842,MS,MS: SDC - Extensive Services
25-26,750,GE,GE: General Education
25-26,750,SA,SA: SDC - Extensive Services Autism Focus
25-26,848,CB,CB: Cantonese Biliteracy
25-26,848,GE,GE: General Education
25-26,513,AF,AF: SDC - Mild/Mod Autism Focus
25-26,513,AF,SDC Transition Program (CAT)
25-26,513,CB,CB: Cantonese Biliteracy
25-26,513,GE,GE: General Education
25-26,513,SB,SB: Spanish Biliteracy
25-26,859,AF,AF: SDC - Mild/Mod Autism Focus
25-26,859,GE,GE: General Education
25-26,832,AO,AO: SDC - Auditory/Oral
25-26,832,GE,GE: General Education
25-26,832,MM,MM: SDC - Mild to Moderate
25-26,832,TC,TC: SDC - Total Communication
25-26,997,GE,GE: General Education
25-26,997,MM,MM: SDC - Mild to Moderate
25-26,997,MS,MS: SDC - Extensive Services
25-26,862,CB,CB: Cantonese Biliteracy
25-26,862,GE,GE: General Education
25-26,867,GE,GE: General Education
25-26,868,GE,GE: General Education
25-26,868,MM,MM: SDC - Mild to Moderate
25-26,868,NX,NX: Newcomer Program
25-26,868,SA,SA: SDC - Extensive Services Autism Focus
25-26,785,CA,SDC Transition Program (CAT)
25-26,785,GE,GE: General Education
25-26,785,MM,MM: SDC - Mild to Moderate
25-26,571,ED,ED: SDC - SOAR
25-26,571,GE,GE: General Education
25-26,571,MM,MM: SDC - Mild to Moderate
25-26,571,MS,MS: SDC - Extensive Services
25-26,497,GE,GE: General Education
25-26,497,GE,SDC Transition Program (CAT)
25-26,497,SE,SE: Spanish Immersion (Non-Native)
25-26,497,SN,SN: Spanish Immersion (Spanish Speakers)
25-26,876,CE,CE: Cantonese Immersion (All English)
25-26,876,CN,CN: Cantonese Immersion (Cantonese Speakers)
25-26,876,GE,GE: General Education
25-26,801,GE,GE: General Education
25-26,801,SA,SA: SDC - Extensive Services Autism Focus
25-26,485,CE,CE: Cantonese Immersion (All English)
25-26,485,CN,CN: Cantonese Immersion (Cantonese Speakers)
