SchoolName,idSchool,Grade,Program,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice+,Grand Total
Longfellow ES,691,5,SB,18,0,0,1,0,0,0.0,0.0,19.0
Lowell HS,697,9,AF,2,0,1,0,0,0,0.0,0.0,3.0
Lowell HS,697,9,GE,1834,214,93,25,11,1,1.0,1.0,2180.0
Malcolm X Academy ES,830,TK,GE,5,14,6,1,0,3,1.0,25.0,55.0
Malcolm X Academy ES,830,KG,GE,18,6,3,1,1,1,1.0,112.0,143.0
Malcolm X Academy ES,830,1,GE,16,0,0,0,0,0,0.0,1.0,17.0
Malcolm X Academy ES,830,2,GE,13,0,1,0,0,0,0.0,1.0,15.0
Malcolm X Academy ES,830,3,GE,15,1,0,1,0,0,0.0,1.0,18.0
Malcolm X Academy ES,830,4,GE,16,0,0,0,0,0,0.0,0.0,16.0
Malcolm X Academy ES,830,5,GE,17,0,0,0,0,0,0.0,0.0,17.0
Marina MS,708,6,CN,20,17,5,11,4,2,1.0,2.0,62.0
Marina MS,708,6,GE,155,142,86,45,33,16,18.0,36.0,531.0
Marina MS,708,6,MM,0,1,0,0,2,0,0.0,0.0,3.0
Marina MS,708,6,NX,1,0,0,0,0,0,0.0,0.0,1.0
Marina MS,708,7,CN,17,0,0,0,0,0,0.0,0.0,17.0
Marina MS,708,7,GE,251,3,2,3,0,3,1.0,0.0,263.0
Marina MS,708,7,MM,1,0,0,0,0,0,0.0,0.0,1.0
Marina MS,708,7,MS,1,0,0,0,0,0,0.0,0.0,1.0
Marina MS,708,7,NX,10,0,0,0,0,0,0.0,0.0,10.0
Marina MS,708,8,CN,23,0,1,0,0,0,0.0,0.0,24.0
Marina MS,708,8,GE,234,2,5,2,3,0,0.0,3.0,249.0
Marina MS,708,8,MM,3,0,0,0,0,0,0.0,0.0,3.0
Marina MS,708,8,MS,2,0,0,0,0,0,0.0,0.0,2.0
Marina MS,708,8,NX,10,0,0,0,0,0,0.0,0.0,10.0
Marshall (Thurgood) HS,853,9,ED,1,1,0,0,0,0,0.0,0.0,2.0
Marshall (Thurgood) HS,853,9,GE,115,60,106,82,43,8,6.0,25.0,445.0
Marshall (Thurgood) HS,853,9,MM,0,0,0,0,1,0,1.0,0.0,2.0
Marshall (Thurgood) HS,853,9,NX,5,3,1,0,0,0,0.0,0.0,9.0
Marshall (Thurgood) HS,853,10,ED,3,0,0,0,0,0,0.0,0.0,3.0
Marshall (Thurgood) HS,853,10,GE,53,1,0,2,0,0,0.0,0.0,56.0
Marshall (Thurgood) HS,853,10,MM,3,0,0,0,0,1,0.0,0.0,4.0
Marshall (Thurgood) HS,853,10,NX,31,0,0,0,0,0,0.0,0.0,31.0
Marshall (Thurgood) HS,853,10,SF,5,0,0,0,0,0,0.0,0.0,5.0
Marshall (Thurgood) HS,853,11,ED,3,0,0,0,0,0,0.0,0.0,3.0
Marshall (Thurgood) HS,853,11,GE,66,2,1,2,0,0,0.0,0.0,71.0
Marshall (Thurgood) HS,853,11,MM,2,0,0,0,0,0,0.0,0.0,2.0
Marshall (Thurgood) HS,853,11,NX,72,0,0,0,0,0,0.0,0.0,72.0
Marshall (Thurgood) HS,853,11,SF,7,0,0,0,0,0,0.0,0.0,7.0
Marshall (Thurgood) HS,853,12,GE,38,0,0,0,0,0,0.0,0.0,38.0
Marshall (Thurgood) HS,853,12,MM,2,0,0,0,0,0,0.0,0.0,2.0
Marshall (Thurgood) HS,853,12,NX,44,0,0,0,0,0,0.0,0.0,44.0
Marshall (Thurgood) HS,853,13,CA,3,1,0,0,0,0,0.0,0.0,4.0
Marshall ES,714,KG,SE,21,13,18,14,13,6,10.0,248.0,343.0
Marshall ES,714,KG,SN,27,16,3,5,7,6,5.0,22.0,91.0
Marshall ES,714,1,SE,19,0,1,0,1,0,0.0,6.0,27.0
Marshall ES,714,1,SN,26,1,0,1,0,0,0.0,0.0,28.0
Marshall ES,714,2,SN,45,3,0,0,1,0,0.0,0.0,49.0
Marshall ES,714,3,SN,43,4,2,1,0,0,0.0,0.0,50.0
Marshall ES,714,4,SN,41,1,1,3,0,0,0.0,0.0,46.0
Marshall ES,714,5,SN,45,3,2,0,0,0,0.0,0.0,50.0
McCoppin (Frank) ES,549,KG,GE,12,11,12,23,27,30,23.0,548.0,686.0
McCoppin (Frank) ES,549,1,GE,38,3,1,1,1,2,0.0,13.0,59.0
McCoppin (Frank) ES,549,2,GE,42,0,0,1,0,0,0.0,4.0,47.0
McCoppin (Frank) ES,549,3,GE,32,2,4,2,1,1,0.0,7.0,49.0
McCoppin (Frank) ES,549,4,GE,26,2,3,0,1,2,1.0,2.0,37.0
McCoppin (Frank) ES,549,5,GE,36,0,1,1,0,0,1.0,0.0,39.0
McKinley ES,718,KG,GE,76,80,69,70,76,72,71.0,619.0,1133.0
McKinley ES,718,1,GE,69,6,4,8,6,0,1.0,12.0,106.0
McKinley ES,718,2,GE,69,3,0,3,1,5,4.0,4.0,89.0
McKinley ES,718,3,GE,69,4,5,5,1,1,1.0,10.0,96.0
McKinley ES,718,4,GE,67,1,1,1,0,1,3.0,4.0,78.0
McKinley ES,718,5,GE,60,2,0,1,1,0,1.0,1.0,66.0
McLaren (John) TK,950,TK,GE,13,18,15,8,8,8,3.0,17.0,90.0
Milk (Harvey) Civil Right ES,505,KG,GE,47,21,31,22,20,16,24.0,456.0,637.0
