School ID,School Name,Grade,Program,Program Name,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th+
420,Alvarado ES,3,GE,,4,2,1,1,0,1,1,0,1,3
420,Alvarado ES,3,MS,,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,3,SN,,4,0,1,0,0,0,0,0,0,0
420,Alvarado ES,4,GE,,2,1,5,2,3,0,0,1,0,1
420,Alvarado ES,4,MS,,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,4,SN,,2,0,1,1,1,0,0,0,0,0
420,Alvarado ES,5,GE,,2,1,3,2,1,1,0,0,0,2
420,Alvarado ES,5,MS,,0,0,0,0,0,0,0,0,0,0
420,Alvarado ES,5,SN,,0,0,0,0,0,0,0,0,0,0
431,Aptos MS,6,GE,,216,195,188,144,101,38,22,19,8,7
431,Aptos MS,6,MM,,4,1,0,1,1,0,0,0,0,0
431,Aptos MS,6,MN,,40,12,4,5,2,1,1,0,0,0
431,Aptos MS,6,SA,,2,2,1,0,0,0,0,0,0,0
431,Aptos MS,7,GE,,10,7,1,2,5,0,0,1,0,1
431,Aptos MS,7,MM,,0,0,0,0,0,0,0,0,0,0
431,Aptos MS,7,MN,,1,2,1,0,0,0,0,0,0,0
431,Aptos MS,7,SA,,0,0,0,0,0,0,0,0,0,0
431,Aptos MS,8,GE,,3,5,3,2,0,0,0,0,0,0
431,Aptos MS,8,MM,,0,0,0,0,0,0,0,0,0,0
431,Aptos MS,8,MN,,0,0,0,0,0,0,0,0,0,0
431,Aptos MS,8,SA,,0,0,0,0,1,0,0,0,0,0
903,Argonne EES,TK,GE,,48,50,32,31,26,18,9,7,10,3
435,Argonne ES,K,GE,,44,66,78,67,60,30,22,20,20,132
435,Argonne ES,K,AF,,2,3,3,0,1,1,0,0,0,0
435,Argonne ES,1,GE,,1,1,0,1,3,0,0,0,0,4
435,Argonne ES,1,AF,,0,0,0,1,0,0,0,0,0,0
435,Argonne ES,2,GE,,2,5,1,5,1,0,0,1,0,1
435,Argonne ES,2,AF,,0,0,0,0,0,0,0,0,0,0
435,Argonne ES,3,GE,,2,2,0,2,1,0,0,0,1,1
435,Argonne ES,3,AF,,0,0,0,0,0,0,0,0,0,0
435,Argonne ES,4,GE,,1,4,0,2,1,1,0,0,0,1
435,Argonne ES,4,AF,,0,0,0,1,0,0,0,0,0,0
435,Argonne ES,5,GE,,0,4,2,0,0,1,0,0,0,1
435,Argonne ES,5,AF,,0,0,0,0,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,9,GE,,355,92,74,61,46,12,5,2,0,1
815,Asawa (Ruth) SOTA HS,9,MM,,2,1,2,1,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,10,GE,,7,4,1,2,1,1,0,0,0,0
815,Asawa (Ruth) SOTA HS,10,MM,,0,0,0,0,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,11,GE,,2,3,3,1,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,11,MM,,1,0,0,0,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,12,GE,,3,0,0,0,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,12,MM,,0,0,0,0,0,0,0,0,0,0
815,Asawa (Ruth) SOTA HS,13,CA,,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,9,GE,,389,321,319,252,227,51,16,5,1,3
439,Balboa HS,9,MM,,5,3,2,2,3,2,0,0,0,0
439,Balboa HS,9,MS,,4,1,0,0,0,0,0,0,0,0
439,Balboa HS,9,NX,,0,0,0,0,1,0,0,0,0,0
439,Balboa HS,10,GE,,14,17,3,3,4,1,0,0,0,0
439,Balboa HS,10,MM,,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,10,MS,,1,0,0,0,0,0,0,0,0,0
439,Balboa HS,10,NX,,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,11,GE,,8,6,3,7,3,1,0,0,0,0
439,Balboa HS,11,MM,,0,0,0,0,1,0,0,0,0,0
439,Balboa HS,11,MS,,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,11,NX,,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,12,GE,,5,3,0,2,0,0,0,0,0,0
439,Balboa HS,12,MM,,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,12,MS,,0,0,0,0,0,0,0,0,0,0
439,Balboa HS,12,NX,,0,0,0,0,0,0,0,0,0,0
