School ID,School Name,Grade,Program Code,Program Name,1st Choice,2nd Choice,3rd Choice,4th Choice,5th Choice,6th Choice,7th Choice,8th Choice,9th Choice,10th+ Choice
449,Carmichael (Bessie) K-8,8,GE,GE: General Education,1,,1,,,,,,,
625,Carver (Dr George W) ES,K,GE,GE: General Education,8,8,8,4,6,4,4,3,3,15
625,Carver (Dr George W) ES,3,GE,GE: General Education,,,,1,,,,,,
625,Carver (Dr George W) ES,4,GE,GE: General Education,,,,,,,,,,1
625,Carver (Dr George W) ES,5,GE,GE: General Education,,1,,,,,,,,
603,Chavez (Cesar) ES,K,GE,GE: General Education,13,21,23,15,13,14,2,3,1,31
603,Chavez (Cesar) ES,K,SB,SB: Spanish Biliteracy,21,26,21,18,5,1,,3,2,
603,Chavez (Cesar) ES,1,GE,GE: General Education,,,2,,1,,,,,1
603,Chavez (Cesar) ES,2,GE,GE: General Education,1,,,,,,,,,
603,Chavez (Cesar) ES,2,SB,SB: Spanish Biliteracy,,,1,1,,,,,,
603,Chavez (Cesar) ES,3,GE,GE: General Education,,1,1,1,,,,,,
603,Chavez (Cesar) ES,3,SB,SB: Spanish Biliteracy,,1,1,,,,,,,
603,Chavez (Cesar) ES,4,GE,GE: General Education,,,,1,,,,,,
603,Chavez (Cesar) ES,5,GE,GE: General Education,,,,,,,,1,,
603,Chavez (Cesar) ES,5,SB,SB: Spanish Biliteracy,,,,,1,,,,,
872,Chin (John Yehall) ES,K,CB,CB: Cantonese Biliteracy,25,20,32,13,6,2,2,1,1,2
872,Chin (John Yehall) ES,K,GE,GE: General Education,17,40,25,33,22,14,8,3,3,45
872,Chin (John Yehall) ES,1,CB,CB: Cantonese Biliteracy,,1,,,2,,,,,
872,Chin (John Yehall) ES,1,GE,GE: General Education,,,1,,1,2,,,,1
872,Chin (John Yehall) ES,2,CB,CB: Cantonese Biliteracy,1,1,,1,,,,,,
872,Chin (John Yehall) ES,2,GE,GE: General Education,1,1,,,2,,1,,1,
872,Chin (John Yehall) ES,3,GE,GE: General Education,1,,3,,1,,,,1,
872,Chin (John Yehall) ES,4,GE,GE: General Education,3,,5,,,,,,,2
872,Chin (John Yehall) ES,5,GE,GE: General Education,,,1,,1,,,,,
509,Chinese Immersion School at DeAvila ES,K,CE,CE: Cantonese Immersion (All English),54,43,50,42,21,20,17,8,6,64
509,Chinese Immersion School at DeAvila ES,K,CN,CN: Cantonese Immersion (Cantonese Speakers),32,19,13,16,7,3,4,1,1,7
509,Chinese Immersion School at DeAvila ES,1,CE,CE: Cantonese Immersion (All English),6,,3,1,,1,1,,,1
509,Chinese Immersion School at DeAvila ES,1,CN,CN: Cantonese Immersion (Cantonese Speakers),2,,2,,,,,1,,
509,Chinese Immersion School at DeAvila ES,2,CN,CN: Cantonese Immersion (Cantonese Speakers),,,1,,3,,,1,,
509,Chinese Immersion School at DeAvila ES,3,CN,CN: Cantonese Immersion (Cantonese Speakers),,,,,,,,1,,
509,Chinese Immersion School at DeAvila ES,4,CN,CN: Cantonese Immersion (Cantonese Speakers),,1,,,,,,,,
509,Chinese Immersion School at DeAvila ES,5,CN,CN: Cantonese Immersion (Cantonese Speakers),,1,,,,,,,,
478,Clarendon ES,K,GE,GE: General Education,92,116,110,109,93,60,57,45,41,102
478,Clarendon ES,K,JE,JE: Japanese Bilingual Bicultural Program - English Cohort,58,77,53,40,38,15,15,12,11,39
478,Clarendon ES,K,JN,JN: Japanese Bilingual Bicultural Program - Japanese Cohort,12,2,2,3,,,,,,
478,Clarendon ES,K,MM,MM: SDC - Mild to Moderate,2,4,4,,,,,,,
478,Clarendon ES,1,GE,GE: General Education,7,4,8,8,3,4,2,4,1,4
478,Clarendon ES,1,JB,JB: Japanese Bilingual Bicultural Prgram,3,6,,2,4,1,,,,1
478,Clarendon ES,1,MM,MM: SDC - Mild to Moderate,,1,,,,,,,,
478,Clarendon ES,2,GE,GE: General Education,2,5,5,5,2,,1,2,1,
478,Clarendon ES,2,JB,JB: Japanese Bilingual Bicultural Prgram,3,2,1,,1,,,,,
478,Clarendon ES,3,GE,GE: General Education,3,3,1,6,1,1,,,,1
478,Clarendon ES,3,JB,JB: Japanese Bilingual Bicultural Prgram,1,1,1,1,1,,,,,
478,Clarendon ES,4,GE,GE: General Education,3,,4,1,5,,1,1,,
478,Clarendon ES,4,JB,JB: Japanese Bilingual Bicultural Prgram,1,1,1,,,,,,,
478,Clarendon ES,5,GE,GE: General Education,1,1,3,3,4,1,2,,,
478,Clarendon ES,5,JB,JB: Japanese Bilingual Bicultural Prgram,,1,,,,,,,,
481,Cleveland ES,K,GE,GE: General Education,7,20,10,8,15,6,1,2,,23
481,Cleveland ES,K,SB,SB: Spanish Biliteracy,15,13,13,4,1,,1,,2,
481,Cleveland ES,1,GE,GE: General Education,1,1,,,1,,,,,
481,Cleveland ES,1,SB,SB: Spanish Biliteracy,,1,,,,,1,,,
481,Cleveland ES,2,GE,GE: General Education,,,,,,2,,,,
481,Cleveland ES,2,SB,SB: Spanish Biliteracy,,2,,,,,,,,
481,Cleveland ES,3,GE,GE: General Education,,1,,1,1,,,,,
481,Cleveland ES,4,GE,GE: General Education,,,1,,,,,,,1
481,Cleveland ES,4,SB,SB: Spanish Biliteracy,,1,,,,,,,,
481,Cleveland ES,5,GE,GE: General Education,,,,,1,,,,,
525,Cobb (Dr William L) ES,TK,GE,GE: General Education,8,31,30,19,10,11,3,3,1,6
525,Cobb (Dr William L) ES,K,GE,GE: General Education,23,15,17,11,24,14,9,7,6,57
525,Cobb (Dr William L) ES,1,GE,GE: General Education,,1,,2,,,,,,3
525,Cobb (Dr William L) ES,2,GE,GE: General Education,,,,,1,,,,1,
525,Cobb (Dr William L) ES,4,GE,GE: General Education,,,,,,,,,,1
632,Denman (James) MS,6,AF,AF: SDC - Mild/Mod Autism Focus,3,,3,1,,,,,,
632,Denman (James) MS,6,ED,ED: SDC - Emotionally Disturbed,,1,1,,,,,1,,
632,Denman (James) MS,6,GE,GE: General Education,231,121,77,68,54,14,9,4,5,12
632,Denman (James) MS,6,MM,MM: SDC - Mild to Moderate,2,4,1,1,5,,,,,
632,Denman (James) MS,6,MS,MS: SDC - Moderate to Severe,3,2,3,1,,,,,,
632,Denman (James) MS,7,GE,GE: General Education,3,2,1,5,,,,,,
632,Denman (James) MS,8,GE,GE: General Education,2,2,1,1,,,,,,
507,Drew (Dr Charles) College Preparatory Academy ES,TK,GE,GE: General Education,16,8,6,4,4,3,1,1,1,7
507,Drew (Dr Charles) College Preparatory Academy ES,K,GE,GE: General Education,30,11,8,7,5,8,1,2,1,14
507,Drew (Dr Charles) College Preparatory Academy ES,1,GE,GE: General Education,,1,,,,1,,,,
507,Drew (Dr Charles) College Preparatory Academy ES,2,GE,GE: General Education,,1,,,,,,,,
507,Drew (Dr Charles) College Preparatory Academy ES,3,GE,GE: General Education,,,1,,,,,,,
507,Drew (Dr Charles) College Preparatory Academy ES,4,GE,GE: General Education,,,,,,,,,,1
507,Drew (Dr Charles) College Preparatory Academy ES,5,GE,GE: General Education,,,,1,,,,,,
521,El Dorado ES,TK,GE,GE: General Education,6,10,11,5,7,7,2,1,1,2
521,El Dorado ES,K,GE,GE: General Education,4,17,13,8,7,8,3,1,3,20
521,El Dorado ES,1,GE,GE: General Education,,1,1,1,,,,,,
521,El Dorado ES,2,GE,GE: General Education,,1,,,,,,,,
521,El Dorado ES,3,GE,GE: General Education,,,1,,,,,,,
521,El Dorado ES,4,GE,GE: General Education,,,,,,,,,,1
529,Everett MS,6,AF,AF: SDC - Mild/Mod Autism Focus,2,2,1,,,,,,,
529,Everett MS,6,GE,GE: General Education,105,71,66,45,57,13,6,7,10,13
529,Everett MS,6,MM,MM: SDC - Mild to Moderate,4,5,4,,2,,,1,,
529,Everett MS,6,MS,MS: SDC - Moderate to Severe,,1,1,,4,,,,,
529,Everett MS,6,NX,NX: Newcomer Program,5,6,1,,1,,,,,
529,Everett MS,6,SN,SN: Spanish Immersion (Spanish Speakers),54,42,31,15,5,4,,1,2,1
529,Everett MS,7,GE,GE: General Education,,1,2,4,,1,,1,,
529,Everett MS,7,NX,NX: Newcomer Program,,1,,,,,,,,
529,Everett MS,7,SN,SN: Spanish Immersion (Spanish Speakers),,,1,,,,,,,
529,Everett MS,8,GE,GE: General Education,2,1,1,,,1,,,,
529,Everett MS,8,NX,NX: Newcomer Program,1,,2,,,,,,,
539,Feinstein (Dianne) ES,TK,GE,GE: General Education,,2,8,6,4,4,,,,
539,Feinstein (Dianne) ES,K,GE,GE: General Education,30,24,33,62,65,22,33,32,31,163
539,Feinstein (Dianne) ES,1,GE,GE: General Education,1,2,4,1,1,3,3,1,2,2
539,Feinstein (Dianne) ES,2,GE,GE: General Education,1,2,,1,2,1,1,1,,
539,Feinstein (Dianne) ES,3,ED,ED: SDC - Emotionally Disturbed,1,,,,,,,,,
539,Feinstein (Dianne) ES,3,GE,GE: General Education,2,1,1,3,2,1,,,1,
539,Feinstein (Dianne) ES,4,ED,ED: SDC - Emotionally Disturbed,,1,,,,,,,,
539,Feinstein (Dianne) ES,4,GE,GE: General Education,,3,,1,1,4,1,1,,1
539,Feinstein (Dianne) ES,5,GE,GE: General Education,,3,1,,1,3,2,,,
680,Flynn (Leonard R) ES,TK,GE,GE: General Education,23,31,31,23,15,4,1,2,1,6
680,Flynn (Leonard R) ES,K,GE,GE: General Education,20,18,16,15,6,9,8,4,4,44
680,Flynn (Leonard R) ES,K,SE,SE: Spanish Immersion (Non-Native),20,28,20,20,10,12,5,7,3,30
680,Flynn (Leonard R) ES,K,SN,SN: Spanish Immersion (Spanish Speakers),18,11,17,19,11,2,5,1,,9
680,Flynn (Leonard R) ES,1,GE,GE: General Education,,2,,1,,1,,,3,
680,Flynn (Leonard R) ES,1,SE,SE: Spanish Immersion (Non-Native),2,1,1,3,1,2,,1,,1
680,Flynn (Leonard R) ES,1,SN,SN: Spanish Immersion (Spanish Speakers),1,,,1,,,,,,
680,Flynn (Leonard R) ES,2,GE,GE: General Education,2,,1,1,,,,,,1
680,Flynn (Leonard R) ES,2,SN,SN: Spanish Immersion (Spanish Speakers),,1,,,1,,1,,,
680,Flynn (Leonard R) ES,4,ED,ED: SDC - Emotionally Disturbed,1,,,,,,,,,
680,Flynn (Leonard R) ES,4,GE,GE: General Education,,1,1,,,,,,,1
680,Flynn (Leonard R) ES,4,SN,SN: Spanish Immersion (Spanish Speakers),,,,2,1,,,,,
680,Flynn (Leonard R) ES,5,SN,SN: Spanish Immersion (Spanish Speakers),1,1,1,,,,,,,
546,Francisco MS,6,ED,ED: SDC - Emotionally Disturbed,1,,,2,,1,,,,
546,Francisco MS,6,GE,GE: General Education,140,117,87,65,35,14,8,7,5,13
546,Francisco MS,6,MM,MM: SDC - Mild to Moderate,1,1,,1,2,,,,,
546,Francisco MS,6,NX,NX: Newcomer Program,13,1,1,1,1,,,,,
546,Francisco MS,6,SA,SA: SDC - Mod/Severe Autism Focus,2,1,2,,,,,,,
546,Francisco MS,7,GE,GE: General Education,1,1,3,2,1,,,,,1
546,Francisco MS,7,NX,NX: Newcomer Program,1,,,,,,,,,
546,Francisco MS,8,GE,GE: General Education,2,4,,2,,,,,,
546,Francisco MS,8,NX,NX: Newcomer Program,3,,,,,,,,,
559,Galileo HS,9,ED,ED: SDC - Emotionally Disturbed,1,1,3,,,,,,,
559,Galileo HS,9,GE,GE: General Education,368,315,381,484,368,66,19,14,2,1
559,Galileo HS,9,MM,MM: SDC - Mild to Moderate,5,7,,3,1,2,1,,,
559,Galileo HS,9,MS,MS: SDC - Moderate to Severe,1,,2,,3,,,,,
559,Galileo HS,9,NX,NX: Newcomer Program,16,6,2,,1,,,,,1
559,Galileo HS,10,GE,GE: General Education,2,5,7,8,3,1,,,,
559,Galileo HS,10,MM,MM: SDC - Mild to Moderate,,,,1,,,,,,
559,Galileo HS,10,NX,NX: Newcomer Program,2,,1,,,,,,,
559,Galileo HS,11,GE,GE: General Education,6,8,8,5,5,2,,,,
559,Galileo HS,12,GE,GE: General Education,3,3,,3,3,,,,,
559,Galileo HS,13,CA,CA: SDC - Transition Program (CAT),4,4,3,3,,1,,,,
562,Garfield ES,K,AF,AF: SDC - Mild/Mod Autism Focus,5,1,4,,2,,,1,,
562,Garfield ES,K,CE,CE: Cantonese Immersion (All English),9,4,9,7,4,5,2,1,1,15
562,Garfield ES,K,CN,CN: Cantonese Immersion (Cantonese Speakers),3,1,2,6,5,3,3,,4,2
562,Garfield ES,K,GE,GE: General Education,10,20,10,29,13,4,1,7,4,49
562,Garfield ES,1,CE,CE: Cantonese Immersion (All English),,,,,1,,,,,
562,Garfield ES,1,GE,GE: General Education,1,1,,1,,,,,,1
562,Garfield ES,2,GE,GE: General Education,,1,1,1,,,,,,
562,Garfield ES,3,GE,GE: General Education,1,1,,,1,,,,,1
562,Garfield ES,4,CN,CN: Cantonese Immersion (Cantonese Speakers),,,,2,,,,,,
562,Garfield ES,4,GE,GE: General Education,1,1,,,2,,,,,1
562,Garfield ES,5,GE,GE: General Education,,,1,,,,,,,
404,Giannini (A.P.) MS,6,AF,AF: SDC - Mild/Mod Autism Focus,5,4,1,,1,,,,,
404,Giannini (A.P.) MS,6,GE,GE: General Education,545,303,306,166,126,25,4,,3,2
404,Giannini (A.P.) MS,6,MM,MM: SDC - Mild to Moderate,11,2,3,1,,1,,,,
404,Giannini (A.P.) MS,6,MS,MS: SDC - Moderate to Severe,6,2,,,1,,,,,
404,Giannini (A.P.) MS,6,SA,SA: SDC - Mod/Severe Autism Focus,1,4,1,,,,,,,
404,Giannini (A.P.) MS,7,GE,GE: General Education,10,4,10,5,3,1,,1,,
404,Giannini (A.P.) MS,7,MM,MM: SDC - Mild to Moderate,,1,,,,,,,,
404,Giannini (A.P.) MS,8,GE,GE: General Education,9,5,2,,2,,,,,
575,Glen Park ES,K,GE,GE: General Education,40,36,29,54,35,29,22,16,18,98
575,Glen Park ES,K,SA,SA: SDC - Mod/Severe Autism Focus,7,6,,1,,,,,,
575,Glen Park ES,K,SB,SB: Spanish Biliteracy,3,5,9,6,5,1,,2,,1
575,Glen Park ES,1,GE,GE: General Education,2,,,1,1,,,,,4
575,Glen Park ES,1,SB,SB: Spanish Biliteracy,,,,,1,,,,,
575,Glen Park ES,2,GE,GE: General Education,,1,2,,,1,1,,,1
575,Glen Park ES,3,GE,GE: General Education,1,,1,1,1,,,,,
575,Glen Park ES,3,SB,SB: Spanish Biliteracy,,,,1,,,,,,
575,Glen Park ES,4,GE,GE: General Education,1,2,,,,1,,,,1
575,Glen Park ES,4,SB,SB: Spanish Biliteracy,,,,,1,,,,,
575,Glen Park ES,5,GE,GE: General Education,,1,,,1,,,,,
575,Glen Park ES,5,SB,SB: Spanish Biliteracy,,1,,,,,,,,
589,Grattan ES,K,GE,GE: General Education,69,63,68,69,73,35,36,37,30,129
